YEAR,SERIAL,MONTH,HWTFINL,CPSID,ASECFLAG,STATEFIP,COUNTY,PERNUM,WTFINL,CPSIDP,CPSIDV,AGE,SEX,RACE,HISPAN,EMPSTAT,OCC,IND,DURUNEMP,EDUC,LNKFW1MWT,LowWage,TreatState,status_next_month,found_job,Post,monthly_cases,log_monthly_cases
2021,142,2,1629.5055,20191200014500,,1,0,4,1835.124,20191200014504,201912000145042,39,1,100,0,21,4251,8660,30,81,1901.5228,1,1,10.0,1,0,274066.0,12.521127881026153
2021,355,2,1881.3754,20191200036600,,1,0,1,1881.3754,20191200036601,201912000366011,50,2,100,0,21,10,4170,7,111,1983.8409,0,1,10.0,1,0,274066.0,12.521127881026153
2021,1049,2,1901.0684,20191200106900,,1,0,1,1901.0684,20191200106901,201912001069011,61,1,100,0,21,4710,7181,57,92,1943.3441,0,1,21.0,0,0,274066.0,12.521127881026153
2021,1237,2,2353.4962,20191200124900,,1,1081,2,2353.4962,20191200124902,201912001249021,32,2,100,0,21,230,7870,3,123,2412.5318,0,1,10.0,1,0,274066.0,12.521127881026153
2021,1702,2,578.9967,20191200172600,,2,0,1,578.9967,20191200172601,201912001726012,22,1,100,0,21,7810,1280,2,91,635.879,0,1,21.0,0,0,28919.0,10.272288676272701
2021,1972,2,536.8115,20191200198700,,2,0,2,543.3295,20191200198702,201912001987021,41,2,802,0,21,6260,770,2,81,637.5633,0,1,21.0,0,0,28919.0,10.272288676272701
2021,1972,2,536.8115,20191200198700,,2,0,1,536.8115,20191200198704,201912001987041,48,1,100,0,21,6200,770,14,73,582.1239,0,1,21.0,0,0,28919.0,10.272288676272701
2021,2123,2,591.9331,20191200214600,,2,0,2,711.754,20191200214606,201912002146061,46,1,802,0,21,220,7570,12,73,761.7555,0,1,21.0,0,0,28919.0,10.272288676272701
2021,2353,2,3042.9023,20191200240800,,4,4013,2,3361.6947,20191200240802,201912002408021,60,2,100,100,21,4760,5580,6,73,3807.0681,1,1,36.0,0,0,482112.0,13.085933805390038
2021,3415,2,3521.4856,20191200349000,,4,0,3,4002.9208,20191200349003,201912003490031,29,2,100,100,21,3603,8191,7,81,4755.5255,0,1,12.0,1,0,482112.0,13.085933805390038
2021,3914,2,1255.1862,20191200397100,,5,0,1,1255.1862,20191200397101,201912003971011,51,2,100,0,21,410,7071,31,92,1367.809,0,1,21.0,0,0,194191.0,12.176602639346143
2021,4077,2,1525.6147,20191200415600,,5,0,1,1525.6147,20191200415601,201912004156011,50,1,100,0,21,6130,3770,4,81,1631.7468,0,1,21.0,0,0,194191.0,12.176602639346143
2021,4107,2,1088.522,20191200417700,,5,0,1,1088.522,20191200417701,201912004177011,49,2,100,0,21,5100,6880,78,92,1194.0845,0,1,21.0,0,0,194191.0,12.176602639346143
2021,4413,2,1681.7316,20191200449100,,5,0,5,1681.7316,20191200449105,201912004491051,29,1,100,0,21,7200,3980,1,73,1868.2741,0,1,21.0,0,0,194191.0,12.176602639346143
2021,4447,2,1527.4731,20191200453000,,5,0,2,1527.4731,20191200453002,201912004530021,27,2,100,0,21,4720,5090,52,81,1801.2695,1,1,21.0,0,0,194191.0,12.176602639346143
2021,4721,2,3852.1381,20191200482200,,6,6059,7,3695.8271,20191200482206,201912004822062,19,2,100,100,21,2861,7490,46,81,4198.4199,0,0,21.0,0,0,1981322.0,14.499275361354819
2021,4988,2,3689.2533,20191200510700,,6,6059,4,4461.1887,20191200510704,201912005107041,25,1,100,100,21,4000,8590,48,73,5163.7951,1,0,21.0,0,0,1981322.0,14.499275361354819
2021,4992,2,3689.2533,20191200511100,,6,6059,2,3934.0344,20191200511103,201912005111031,29,2,100,100,21,3645,8191,43,50,4390.6163,0,0,21.0,0,0,1981322.0,14.499275361354819
2021,4993,2,3486.1492,20191200511200,,6,6059,3,3486.1492,20191200511203,201912005112031,53,1,100,0,21,220,770,2,111,3768.9111,0,0,10.0,1,0,1981322.0,14.499275361354819
2021,5235,2,3101.0667,20191200534700,,6,6037,1,3101.0667,20191200534701,201912005347012,42,2,200,0,21,2700,8563,4,111,3580.7583,1,0,10.0,1,0,1981322.0,14.499275361354819
2021,5421,2,3540.4123,20191200550800,,6,6059,1,3540.4123,20191200550801,201912005508011,60,2,100,100,21,4600,8470,18,73,3943.659,0,0,34.0,0,0,1981322.0,14.499275361354819
2021,5538,2,4115.3141,20191200560500,,6,6037,1,4115.3141,20191200560501,201912005605011,29,1,100,0,21,1551,6570,8,73,4520.7012,0,0,34.0,0,0,1981322.0,14.499275361354819
2021,6019,2,2704.5214,20191200620600,,6,6037,1,2704.5214,20191200620601,201912006206011,59,2,200,0,21,4400,8590,48,81,3001.8562,1,0,21.0,0,0,1981322.0,14.499275361354819
2021,6024,2,4008.049,20191200621200,,6,6019,3,3904.4833,20191200621203,201912006212031,55,2,100,0,21,4030,8680,52,111,4180.6953,1,0,34.0,0,0,1981322.0,14.499275361354819
