statefips,date,employment,spend_all,covid_severity,is_red_state,StayAtHome_Active,BizClosure_Active,SchoolClosure_Active,Red_State_Policy_Interaction
4,2020-03-01,0.00825,-0.0268,0.0,0.0,0,0,0,0.0
6,2020-03-01,0.0113,-0.0333,0.0607,0.0,0,0,0,0.0
17,2020-03-01,0.000879,-0.0481,0.00789,0.0,0,0,0,0.0
25,2020-03-01,-0.00777,-0.0159,0.0,0.0,0,0,0,0.0
31,2020-03-01,-0.0204,-0.0728,0.103,1.0,0,0,0,0.0
41,2020-03-01,-0.00194,-0.0102,0.083,0.0,0,0,0,0.0
48,2020-03-01,0.00343,-0.0234,0.0241,1.0,0,0,0,0.0
49,2020-03-01,-0.0139,-0.00869,0.0,1.0,0,0,0,0.0
53,2020-03-01,0.00241,-0.0602,0.21,0.0,0,0,0,0.0
55,2020-03-01,-0.00163,-0.0294,0.0,0.0,0,0,0,0.0
4,2020-03-08,0.00684,-0.011677142857142858,0.025514285714285715,0.0,0,0,0,0.0
6,2020-03-08,0.00692,-0.007365714285714286,0.12152857142857143,0.0,0,0,0,0.0
8,2020-03-08,0.0119,0.009775714285714287,0.44566666666666666,0.0,0,0,0,0.0
12,2020-03-08,0.000397,0.0025114285714285716,0.02594285714285714,1.0,0,0,0,0.0
13,2020-03-08,-0.00778,0.01119857142857143,0.03021666666666667,0.0,0,0,0,0.0
15,2020-03-08,-0.121,-0.010215714285714286,0.1235,0.0,0,0,0,0.0
17,2020-03-08,-0.00447,-0.02069714285714286,0.022571428571428572,0.0,0,0,0,0.0
18,2020-03-08,-0.00587,-0.1015,0.026,1.0,0,0,0,0.0
20,2020-03-08,-0.000116,0.0011684285714285718,0.0,1.0,0,0,0,0.0
21,2020-03-08,-0.00212,0.010415714285714287,0.1175,1.0,0,0,0,0.0
24,2020-03-08,0.00112,-0.0059614285714285715,0.025733333333333334,0.0,0,0,0,0.0
25,2020-03-08,-0.00828,0.011065714285714286,0.10578571428571427,0.0,0,0,0,0.0
27,2020-03-08,-0.00823,-0.01545857142857143,0.03105,0.0,0,0,0,0.0
29,2020-03-08,-0.00268,0.021528571428571428,0.0,1.0,0,0,0,0.0
31,2020-03-08,-0.0193,-0.06254285714285715,0.044300000000000006,1.0,0,0,0,0.0
32,2020-03-08,-0.00119,-0.017881428571428572,0.050666666666666665,0.0,0,0,0,0.0
33,2020-03-08,-0.0094,0.03258571428571429,0.27316666666666667,0.0,0,0,0,0.0
34,2020-03-08,-0.00227,0.022442857142857143,0.093525,0.0,0,0,0,0.0
36,2020-03-08,-0.00712,-0.013864285714285714,0.24342857142857147,0.0,0,0,0,0.0
37,2020-03-08,0.00526,0.005487142857142857,0.01044,1.0,0,0,0,0.0
40,2020-03-08,-0.0106,0.016957142857142858,0.0,1.0,0,0,0,0.0
41,2020-03-08,-0.0126,-0.014302857142857143,0.08020000000000001,0.0,0,0,0,0.0
42,2020-03-08,-0.000438,-0.013282857142857143,0.109,0.0,0,0,0,0.0
44,2020-03-08,-0.014,-0.07075714285714287,0.04805714285714286,0.0,0,0,0,0.0
